 Commenter , Information Requested , Type of Information Needed 
 Veeva Systems , Publication of validation tools and sample datasets , Technical Resources/Tools 
 --- , --- , --- 
 Dr. Geoffrey Norman Pain , Unredacted Periodic Safety Update Reports (PSURs) from COVID-19 injection manufacturers , Documentary evidence 
 Dr. Geoffrey Norman Pain , Release of all Endotoxin measurements made on vials of all batches of COVID-19 vaccines from all manufacturers , Scientific data 
 Dr. Geoffrey Norman Pain , Ban on the use of Tromethamine (Tris) in COVID-19 vaccines due to its potential to cause Anaphylaxis , Regulatory action 
 Dr. Geoffrey Norman Pain , Ban on the approval of GMO Live Virus COVID-19 vaccines , Regulatory action 
 Dr. Geoffrey Norman Pain ," Investigation into the potential harm caused by Endotoxin contamination in COVID-19 vaccines, particularly in relation to Bacterial Endotoxin and Lipid Nanoparticles ", Scientific investigation 
 Dr. Geoffrey Norman Pain ," Comparison of the safety profiles of different COVID-19 vaccines, including those using Chimpanzee Adenovirus, mRNA, and Insect-cultured synthetic Spike Protein ", Comparative safety analysis 
 --- , --- , --- 
 Not specified (individual commenter) , Revision of COVID vaccine policy to allow universal access , Policy change 
 Not specified (individual commenter) ," Removal of restrictions on COVID vaccine access (e.g. age, risk factors) ", Policy change 
 Not specified (individual commenter) , Vaccination of all individuals every 6 months , Recommendation for vaccination schedule 
 Not specified (individual commenter) , Full coverage of vaccine costs by public funds and/or insurance , Financial and insurance information 
 Not specified (individual commenter) ," Development of alternative vaccine delivery methods (e.g. liquids, pills, nasal sprays) ", Product development and availability 
 Not specified (individual commenter) , Recommendations for accessing vaccines for vulnerable and high-risk populations , Guidance for vulnerable populations 
 Not specified (individual commenter) , Anticipation and addressing of future dominant viral strains , Scientific and epidemiological data 
 Not specified (individual commenter) , Ensuring equitable and affordable access to updated vaccines , Access and affordability information 
 Not specified (individual commenter) , Revival of programs like the CDC bridge program for no-cost access to vaccines , Program development and funding 
 --- , --- , --- 
 FDA ," Cumulative analysis of post-authorization safety data, including U.S. and foreign post-authorization adverse event reports "," Post-marketing safety data, adverse event reports, pharmacovigilance plan "
 FDA ," Analysis of Important Identified Risks, Important Potential Risks, and areas of Important Missing Information "," Risk assessment, safety concerns, missing information "
 FDA , Adverse events of special interest (AESIs) and vaccine administration errors ," Adverse event reports, AESIs, vaccine administration errors "
 FDA , Distribution data and analysis of the most common adverse events ," Distribution data, adverse event reports, common adverse events "
 FDA , Updated Pharmacovigilance Plan ," Pharmacovigilance plan, safety monitoring "
 --- , --- , --- 
 Lisa Kuhnke , 1. Updated COVID-19 vaccine availability by Fall 2025 , Timeline/Action Plan 
,,
,,
,,
,,
,,
 --- , --- , --- 
" Ethics and Public Policy Center (Jamie Bryan Hall, Director of Data Analysis, and Ryan T. Anderson, President) "," 1. Reinstatement of original patient safety protocols for mifepristone, including in-person office visits and physician supervision. 2. Mandatory reporting of serious adverse events by healthcare providers. 3. Reconsideration of mifepristone's approval based on objective safety criteria. "," Regulatory action, Safety protocols, Adverse event reporting "
 --- , --- , --- 
" Nicolas Hulscher, MPH, and other creators "," The FDA to acknowledge the potential risks and adverse events associated with DNA/RNA-based vaccines, as outlined in the 28 ""Whereas"" statements, and to consider the need for stricter regulations and safety protocols. "," Scientific evidence and data on the safety and efficacy of DNA/RNA-based vaccines, as well as regulatory and legislative actions to address concerns. "
 --- , --- , --- 
 American Academy of Pediatric Dentistry (AAPD) , Historical context of fluoride introduction as a preventative measure for tooth decay , Background information 
 American Academy of Pediatric Dentistry (AAPD) , Current need for fluoride supplements , Rationale for continued use 
 American Academy of Pediatric Dentistry (AAPD) , Mechanisms of fluoride in preventing tooth decay , Scientific explanation 
 American Academy of Pediatric Dentistry (AAPD) , Clinical and animal studies confirming fluoride consumption reduces dental caries in children , Scientific evidence 
 American Academy of Pediatric Dentistry (AAPD) , Effects of fluoride supplements on oral and gut microbiome in children , Scientific research 
 American Academy of Pediatric Dentistry (AAPD) , Neurobehavioral and other health concerns associated with fluoride exposure in children , Safety information 
 American Academy of Pediatric Dentistry (AAPD) , Potential impacts of removing fluoride supplements from the market , Consequences of regulatory action 
 American Academy of Pediatric Dentistry (AAPD) , Alternatives to ingestible fluoride products , Substitute options for fluoride supplements 
 --- , --- , --- 
 National Community Pharmacists Association (NCPA) , Rescission of FDA's 2023 Guidance for Industry #256 (GFI 256) or revision to respect veterinary practice and streamline bulk substance nomination process , Policy/Regulatory Change 
 NCPA , Transparency in FDA's evaluations of bulk substance nominations , Procedural Transparency 
 NCPA , Incorporation of veterinary clinical judgment in regulation of veterinary compounding , Expert Input/Consideration 
 NCPA , Data or rationale for FDA's authority to regulate veterinary compounding without clear congressional mandate , Justification/Legal Basis 
 NCPA , Opportunity for further discussion and collaboration with FDA to offer solutions and ideas , Collaborative Engagement 
 --- , --- , --- 
 Patient with high-risk smoldering multiple myeloma , Research on optimal timing of treatment for high-risk smoldering multiple myeloma , Scientific evidence and clinical trial data 
 Patient with high-risk smoldering multiple myeloma ," Standard of care treatment option for high-risk smoldering multiple myeloma, such as daratumumab monotherapy ", Regulatory approval and treatment guidelines 
 Patient with high-risk smoldering multiple myeloma , Increased access to clinical trials and treatment options for patients with high-risk smoldering multiple myeloma , Regulatory policies and healthcare access 
 Patient with high-risk smoldering multiple myeloma , Consideration of patient-reported outcomes and experiences in the development of treatment guidelines , Patient-centered care and regulatory decision-making 
 --- , --- , --- 
 Deenie Burns ," Investigation into Ray Epps' role in the January 6 Capitol breach, his potential ties to government agencies, and the use of informants and provocateurs "," Fact-finding, investigative reporting, and analysis of evidence related to the January 6 event "
 --- , --- , --- 
 Not specified , Current state of submitting clinical study data from RWD sources to FDA ," Regulatory requirements, data standards, and submission processes "
 Not specified , Opportunities and challenges for the pharmaceutical industry in using HL7 FHIR for clinical study data submissions from RWD sources ," Technical considerations, business processes, and data exchange standards "
 Not specified ," Standard forms for submitting research study data dictionaries, study protocols, and evidence generated from RWD analysis "," Data standards, submission templates, and regulatory expectations "
 Not specified ," Coordination between RWD and clinical trial data submissions, including data dictionaries and study protocols "," Regulatory requirements, data standards, and submission processes "
 Not specified , Purpose of guidance on mapping data in a research study to a defined standard ," Regulatory requirements, data standards, and submission processes "
 Not specified , Expectations for submitting research study data dictionaries and study protocols for RWD and clinical trial datasets ," Regulatory requirements, data standards, and submission processes "
 Not specified , Standard forms for submitting findings/conclusions/results (evidence) generated from RWD analysis ," Data standards, submission templates, and regulatory expectations "
 Not specified ," Use of HL7 FHIR for research datasets, study protocols, and evidence derived from research studies "," Technical considerations, data exchange standards, and implementation guides "
 Not specified , Details about the EBMonFHIR project and its implementation guide for evidence-based medicine on FHIR ," Technical information, implementation guides, and research studies "
 Not specified ," Specific FHIR profiles relevant to the FDA, such as ResearchStudyDataDictionary, VariableDefinition, and M11Report "," Technical information, data standards, and implementation guides "
 --- , --- , --- 
 Not specified , Extended public comment period (4 weeks) , Procedural/Regulatory 
 Not specified , Universal access to updated vaccines for all ages , Policy/Recommendation 
 Not specified , Full coverage of vaccines by public funds or insurance at regular intervals (every 6 months) , Policy/Recommendation 
 Not specified , Accountability for statements made by Dr. Marty Makary , Administrative/Accountability 
 Not specified , Consideration of long-term public health outcomes in decision-making , Policy/Decision-making criteria 
 Not specified , Scientific evidence to support vaccine recommendations , Scientific/Evidence-based 
 --- , --- , --- 
 Michael Quick ," Investigation into the recent deaths of 72 firefighters, potentially related to COVID-19 mRNA vaccine mandates "," Causal link between vaccine mandates and sudden deaths, particularly in younger firefighters "
 --- , --- , --- 
 PhRMA (The Pharmaceutical Research and Manufacturers of America) ," Additional piloting of Dataset-JSON, including the use of validation tools and engagement with technology vendors ", Feedback on the implementation of Dataset-JSON as a new exchange standard for electronic study data submissions 
 PhRMA , Global coordination and adoption of Dataset-JSON with other pharmaceutical regulatory authorities , Suggestions for promoting global adoption of Dataset-JSON to facilitate patient access to medicines 
 PhRMA ," Considerations for adopting Dataset-JSON, including vendor readiness, validation tools, and updates to Study Data Technical Conformance Guide and eCTD Validation Criteria ", Technical and logistical input on implementing Dataset-JSON as a new data standard exchange for electronic submissions 
 PhRMA ," Alignment with ongoing activities, such as the PHUSE-CDISC initiative, to establish a business case and roadmap for Dataset-JSON implementation ", Recommendations for ensuring that FDA's efforts align with industry initiatives and standards 
 PhRMA ," Lead time (e.g., 24 months) for changes to validation criteria and support for currently supported versions of eCTD "," Specific requirements for a successful implementation of Dataset-JSON, including timelines and technical compatibility "
 --- , --- , --- 
 Not specified , Extension of public comment period to 4 weeks , Procedural 
 Not specified , Universal access to updated COVID vaccines , Policy-related 
 Not specified , Recommendation for vaccines to be administered to individuals of all ages , Policy-related 
 Not specified , Full coverage of vaccines by public funds or insurance at regular intervals (at least every 6 months) , Policy-related 
 Not specified , Vaccine schedule that addresses waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Technical 
 Not specified , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified , Access to all vaccine options made by all manufacturers , Policy-related 
 Not specified ," Support for vaccine options beyond injection (e.g., liquids, pills, or nasal sprays) ", Scientific/Technical 
 Not specified , Recommendations that anticipate the next dominant strain in the next 6 months , Scientific/Technical 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy-related 
 Not specified , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy-related 
 Not specified , Consideration of long-term public welfare outcomes in decision-making , Policy-related 
 --- , --- , --- 
 Canadian Researchers and Professionals , Immediate halt to the use of COVID-19 mRNA vaccines , Regulatory Action 
 Canadian Researchers and Professionals , Independent and transparent public inquiry into regulatory processes , Investigation/Transparency 
 Canadian Researchers and Professionals , Scientific assessments of mRNA products for health risks , Scientific Research 
 Canadian Researchers and Professionals , Data and funding for independent research on potential link between COVID-19 mRNA vaccines and cancer rates , Research Funding/Data Access 
 Canadian Researchers and Professionals ," Information on residual plasmid DNA, aberrant protein production, and shift to IgG4 antibodies ", Scientific Data/Research Findings 
 Canadian Researchers and Professionals , Disclosure of bioactive SV40 promoter-enhancer DNA sequences in vaccine production , Transparency/Manufacturing Information 
 Canadian Researchers and Professionals , Explanation for variable and concerning levels of residual plasmid DNA in vaccines , Scientific Explanation/Research Findings 
 Canadian Researchers and Professionals , Investigation into batch-specific vaccine adverse events , Adverse Event Investigation 
 Canadian Researchers and Professionals , Research on potential health risks associated with SV40 sequences , Scientific Research 
 --- , --- , --- 
 Emily ," Continued access to twice-yearly COVID-19 boosters for all individuals over 6 months old, initial series access for all children, and frequent formulation updates to adjust for variants ", Policy/Recommendation 
 Emily (supporting a shared message) ," A four-week public comment period before an upcoming committee meeting, universal access to updated COVID-19 vaccines, and vaccine recommendations for individuals of all ages with full coverage by public funds or insurance "," Policy/Recommendation, Procedural "
 Emily (supporting a shared message) ," Vaccine schedule addressing waning efficacy and emerging new strains, ensuring access to all vaccine options, and supporting vaccine options beyond injections (e.g., liquids, pills, nasal sprays) "," Scientific/Evidence-based, Policy/Recommendation "
 Emily (supporting a shared message) ," Anticipation of the next dominant strain in the next six months, ensuring manufacturers match the variant with future variants, and addressing access limitations due to financial and demographic constraints "," Scientific/Evidence-based, Policy/Recommendation "
 Emily (supporting a shared message) ," Accountability for FDA decisions, prioritizing long-term public welfare outcomes over short-term financial or economic analyses ", Accountability/Oversight 
 --- , --- , --- 
" Hua Shen, et al. ", Outcomes of one-stage surgical approach using TTCS and VATS in patients with heart disease and lung cancer ," Clinical data, perioperative outcomes, short-term outcomes, lung surgery details "
" Hua Shen, et al. "," Comparison of recovery duration, complications, and mid-term survival between patients undergoing one-stage TTCS and VATS and those undergoing cardiac surgery only "," Comparative data, statistical analysis "
" Hua Shen, et al. ", Feasibility of a one-stage strategy for a carefully selected patient population with heart disease and lung cancer ," Clinical guidance, treatment recommendations "
 --- , --- , --- 
" E. J. Balbona, et al. "," Clarification on the incidence rates of severe myocarditis and cardiac adverse events following COVID-19 vaccination, particularly in young males "," Quantitative data, epidemiological information "
" E. J. Balbona, et al. "," Information on the pathogenesis of cardiac adverse events linked to COVID-19 mRNA vaccines, including the role of lipid nanoparticles (LNPs) and spike protein "," Mechanistic understanding, scientific evidence "
" E. J. Balbona, et al. ", Data on the presence of spike protein and inflammatory responses in the heart tissue of myocarditis cases after COVID-19 vaccinations ," Histopathological data, immunohistochemical staining results "
" E. J. Balbona, et al. "," Details on the monitoring systems and reporting of adverse events related to COVID-19 vaccination, including myocarditis and pericarditis "," Regulatory information, surveillance data "
" E. J. Balbona, et al. "," Information on the potential mechanisms underlying the association between COVID-19 mRNA vaccines and cardiac adverse events, including hypersensitivity reactions, coagulopathy, and cytokine storm "," Scientific evidence, mechanistic understanding "
 --- , --- , --- 
 Not specified ," New scientific data on nutrient requirements for healthy, full-term infants "," Scientific research, data, and studies "
 Not specified , Scientific data on nutrient intakes associated with poor health outcomes ," Scientific research, data, and studies "
 Not specified , Review of existing nutrients required in 21 CFR 107.100 ," Regulatory review, analysis of current standards "
 Not specified , Adjustments to existing minimum or maximum levels of nutrients ," Regulatory updates, scientific justification "
 Not specified , Addition of a maximum level for manganese ," Scientific research, data, and studies on manganese toxicity "
 Not specified , Other nutrients or specifications to consider adding to 21 CFR 107.100 ," Scientific research, data, and studies on emerging nutrients "
 Not specified , Nutrients to remove from 21 CFR 107.100 ," Scientific research, data, and studies on unnecessary nutrients "
 --- , --- , --- 
 Institute for Food Safety and Nutrition Security (IFSAN) , Clarification on the overall modeling approach for prioritizing food chemicals , Methodological 
 IFSAN ," Splitting the proposed tool into screening, ranking, and prioritization stages ", Procedural 
 IFSAN ," Definition of criteria for screening chemicals (e.g., known high toxicity, high potential exposure) ", Substantive 
 IFSAN ," Modification of public health criteria to align with components of risk assessment (e.g., exposure assessment, dose-response, risk characterization) ", Substantive 
 IFSAN , Addition of a criterion related to whether a post-market assessment has previously been conducted , Substantive 
 IFSAN ," Revision of scoring definitions to reflect suggested revisions (e.g., focusing on potential exposure burdens) ", Methodological 
 IFSAN ," Clarification on how subjective terms (e.g., ""high"", ""increasing"") are defined ", Methodological 
 IFSAN , Justification for the selection of the scoring scale and conduct of sensitivity analyses , Methodological 
 IFSAN , Equal weighting of public health criteria and separate consideration of other decisional criteria , Methodological 
 IFSAN ," Opportunities for FDA to leverage expertise from other agencies (e.g., EPA, NTP) ", Collaborative/Procedural 
 IFSAN , Access to necessary data for implementing the proposed approach , Substantive/Procedural 
 --- , --- , --- 
 Dr. Prasad and Members of the FDA VRBPAC , A four-week public comment period before the upcoming committee meeting , Procedural change to ensure adequate public feedback 
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 St. Elizabeth Healthcare , Challenges encountered by healthcare providers and patients with current recommendation for DPYD testing ," Qualitative, descriptive information on implementation challenges "
 St. Elizabeth Healthcare , Factors considered by healthcare providers when deciding to test for DPD deficiency ," Qualitative, descriptive information on decision-making factors "
 St. Elizabeth Healthcare , Factors considered by healthcare providers when deciding to use fluorouracil or capecitabine in patients with complete DPD deficiency ," Qualitative, descriptive information on treatment decision-making factors "
 St. Elizabeth Healthcare , Data on the feasibility and effectiveness of integrating DPYD testing into routine oncology practice ," Quantitative, empirical data on testing implementation and outcomes "
 St. Elizabeth Healthcare , Information on the impact of inconsistent coverage by third-party payors on DPYD testing ," Quantitative, empirical data on reimbursement and coverage "
 --- , --- , --- 
 Anonymous (Public Commenter) , Update outdated nutrient standards , Scientific/Regulatory 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified (public commenter) , Data on vaccine efficacy and waning immunity over time , Scientific/medical data 
 Not specified (public commenter) ," Information on access to COVID vaccines, especially for uninsured and underinsured populations ", Demographic and socioeconomic data 
 Not specified (public commenter) , Recommendations for frequent vaccination approaches and updates to match current variants , Public health strategy 
 Not specified (public commenter) , Predictions for the next dominant strain of COVID in the next six months , Epidemiological forecasting 
 Not specified (public commenter) ," Support for fair and affordable access to updated vaccines, including programs like the CDC Bridge Access Program ", Policy and program implementation 
 Not specified (public commenter) , Accountability from the FDA commissioner to prioritize long-term public health outcomes over short-term financial analyses , Administrative and regulatory guidance 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before committee meetings , Procedural information/update to existing guidelines 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial and insurance coverage information 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific evidence and vaccine development information 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Vaccine development and manufacturing information 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Manufacturing and distribution information 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Research and development information 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain within the next six months , Predictive modeling and scientific forecasting information 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy and program development information 
 Not specified (public commenter) , Revival or implementation of programs like the CDC bridge program for no-cost access to vaccines , Program development and funding information 
 --- , --- , --- 
 National Alliance on Mental Illness (NAMI) , Data on the effectiveness of brexpiprazole (REXULTI) for the treatment of Post-Traumatic Stress Disorder (PTSD) ," Clinical efficacy data, specifically on the use of brexpiprazole as a treatment option for PTSD "
 --- , --- , --- 
 A fourth-year medical student , Data on vaccine safety and effectiveness , Scientific evidence 
,,
,,
 --- , --- , --- 
 Children's Oral Health Network of Maine (COHN) , The FDA to keep pediatric fluoride prescription therapies on the market and available to children and families who choose to use them. , Policy/Regulatory Action 
 Children's Oral Health Network of Maine (COHN) , Consideration of the evidence on the safety and efficacy of orally ingestible prescription fluoride drug products for the pediatric population. , Scientific Evidence 
 Children's Oral Health Network of Maine (COHN) ," Recognition of the importance of fluoride supplementation as a preventive healthcare strategy, especially for rural or low-income communities with limited access to dental care. ", Public Health Considerations 
 Children's Oral Health Network of Maine (COHN) ," Acknowledgement of the recommended therapeutic levels of fluoride, as determined by the U.S. Centers for Disease Control and Prevention and supported by major health associations. ", Clinical Guidelines/Recommendations 
 --- , --- , --- 
 Center for Science in the Public Interest (CSPI) , 1. Increased Congressional appropriations as primary source of FDA funding ," Financial, Budgetary "
,,
,,
,,
 --- , --- , --- 
" Andrew Wang, PhD, MPH, CPH ", Extended public comment period (at least 4 weeks) before committee meetings , Procedural 
" Andrew Wang, PhD, MPH, CPH "," Universal access to updated COVID vaccines for all ages, with regular intervals (at least every 6 months) ", Policy 
" Andrew Wang, PhD, MPH, CPH ", Vaccines to be fully covered by public funds or insurance , Financial/Access 
" Andrew Wang, PhD, MPH, CPH ", Vaccine schedule to address waning efficacy and emerging variants , Scientific/Technical 
" Andrew Wang, PhD, MPH, CPH ", Access to all vaccine options from all manufacturers , Access/Equity 
" Andrew Wang, PhD, MPH, CPH "," Support for alternative vaccine formats (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
" Andrew Wang, PhD, MPH, CPH "," Recommendations for anticipating future dominant strains (e.g., variant XFC) ", Scientific/Technical 
" Andrew Wang, PhD, MPH, CPH "," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access/Equity 
" Andrew Wang, PhD, MPH, CPH ", FDA accountability for prioritizing long-term public welfare outcomes over short-term financial/economic analyses , Governance/Policy 
 --- , --- , --- 
 Not specified ( likely a pharmaceutical company) , Challenges in submitting clinical study data collected from RWD sources to FDA ," Qualitative, describing current state and limitations "
 Not specified , Opportunities and challenges for the pharmaceutical industry in reaching a future state of clinical study data submissions collected from RWD sources using HL7 FHIR ," Qualitative, describing future state and potential benefits and limitations "
 Not specified , Suggestions on how FDA might reach a future state of clinical study data submissions collected from RWD sources that aligns with ASTP/ONC health IT goals for HL7 FHIR-based exchange ," Qualitative, providing recommendations and potential solutions "
 Not specified , Whether USCDI version 3 provides enough information for collecting RWD for research purposes ," Evaluative, assessing the adequacy of current data standards "
 Not specified , The role TEFCA could play in using RWD for clinical research and how it could support more efficient collection and exchange of RWD for clinical research purposes ," Exploratory, examining potential applications and benefits of TEFCA "
 --- , --- , --- 
 Canadian Researchers and Professionals , Immediate halt to the use of COVID-19 mRNA vaccines , Regulatory action 
,,
,,
,,
,,
,,
,,
,,
 International Researchers and Professionals , Same as above , Same as above 
 --- , --- , --- 
 None (General Information) ," Efficacy of COVID-19 vaccines in reducing risk of severe illness, hospitalization, and death ", Scientific data and studies 
 None (General Information) ," Effectiveness of COVID-19 vaccines in different age groups (e.g. adults, older adults, children) ", Scientific data and studies 
 None (General Information) , Duration of protection from COVID-19 vaccines , Scientific data and studies 
 None (General Information) ," Safety data on COVID-19 vaccines, including rare adverse events ", Scientific data and studies 
 --- , --- , --- 
 Not specified (individual commenter) , Expedited approval of Novavax's BLA for COVID vaccine , Action/Regulatory Decision 
 Not specified (individual commenter) , Data refuting claims that single-antigen vaccines are ineffective , Scientific/Technical Information 
 Not specified (individual commenter) ," Swift approval of Novavax's vaccine for all ages, including pediatric approval ", Action/Regulatory Decision 
 Not specified (individual commenter) , Extension of Novavax vaccine's expiration date to 9 months , Action/Regulatory Decision 
 --- , --- , --- 
 Eric Jesse Kikkert ," Data on the passage of environmental contaminants, such as heavy metals and microplastics, across the blood-brain barrier and placenta ", Scientific data and research on the effects of environmental contaminants on neurological health 
 --- , --- , --- 
 Not specified (public commenter) , Extension of public comment period to at least 4 weeks , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds or insurance at regular intervals (every 6 months) , Financial/Payment 
 Not specified (public commenter) , Vaccine schedule addressing waning efficacy and new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all manufacturers , Logistics/Supply Chain 
 Not specified (public commenter) ," Support for alternative vaccine delivery methods (liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations for vaccine access that anticipate future dominant strains , Scientific/Technical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Social/Equity 
 Not specified (public commenter) , Revival of programs like the CDC Bridge Program for no-cost vaccine access , Policy/Programmatic 
 Not specified (public commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over financial considerations , Transparency/Accountability 
 --- , --- , --- 
" David M. Morens, Jeffery K. Taubenberger, and Anthony S. Fauci "," Data on the development of next-generation vaccines for respiratory viruses, including information on vaccine antigen configuration, dose and adjuvation, route and timing of vaccination, vaccine boosting, adjunctive therapies, and public health vaccination policies ", Scientific and technical data to inform vaccine development and policy decisions 
 --- , --- , --- 
 Not specified (public comment) , Ensure a four-week public comment period before FDA committee meetings , Procedural/Regulatory 
 Not specified (public comment) , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified (public comment) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Funding/Coverage 
 Not specified (public comment) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Efficacy 
 Not specified (public comment) , Updates to all vaccine types to match emerging variants , Scientific/Development 
 Not specified (public comment) , Access to all vaccine options from all three manufacturers , Availability/Access 
 Not specified (public comment) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Development 
 Not specified (public comment) , Recommendations that anticipate the next dominant strain in the next six months , Predictive/Preventive 
 Not specified (public comment) , Manufacturer matching of variants with future variants , Scientific/Development 
 Not specified (public comment) , Equitable and affordable access to updated vaccines , Social/Demographic 
 Not specified (public comment) , Addressing access limitations due to financial and demographic constraints , Social/Demographic 
 Not specified (public comment) , FDA accountability for prioritizing public welfare over short-term financial or economic analyses , Transparency/Accountability 
 --- , --- , --- 
 Brenda Staudenmaier , Clinical trial data on the safety and efficacy of orally ingested fluoride products in pediatric population ," Scientific evidence, clinical trial data "
 Brenda Staudenmaier , Review of FDA approval process for orally ingested fluoride products ," Regulatory information, approval status "
 Brenda Staudenmaier , Assessment of neurotoxicity and thyroid disruption associated with fluoride exposure ," Scientific evidence, toxicology data "
 Brenda Staudenmaier , Re-evaluation of fluoride's endocrine-disrupting properties ," Scientific evidence, toxicology data "
 Brenda Staudenmaier ," Consideration of cumulative fluoride exposure from various sources (water, food, dental products) "," Exposure assessment, risk analysis "
 Brenda Staudenmaier , Benefit-risk analysis of fluoride supplements in early infancy ," Scientific evidence, risk-benefit analysis "
 Brenda Staudenmaier , Alternatives to fluoride supplements for preventing tooth decay ," Public health strategy, prevention alternatives "
 Brenda Staudenmaier , Removal of unapproved fluoride drugs from the market ," Regulatory action, market removal "
 Brenda Staudenmaier , FDA review and approval of fluoride products before allowing their use in pediatric population ," Regulatory oversight, approval process "
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before an upcoming committee meeting , Procedural: comment period duration 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy: vaccine access and recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Policy: vaccine funding and insurance coverage 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific: vaccine efficacy and strain matching 
 Not specified (public commenter) ," Updates to all vaccine types, including options from all three manufacturers ", Scientific: vaccine development and manufacturing 
 Not specified (public commenter) ," Support for vaccine options beyond injection, such as liquids, pills, or nasal sprays ", Scientific: vaccine delivery methods 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Scientific: vaccine development and strain prediction 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy: vaccine access and affordability 
 Not specified (public commenter) ," Accountability from Dr. Marty Makary, commissioner of the FDA, to listen to public needs and prioritize long-term public welfare outcomes ", Administrative: agency accountability and decision-making 
 --- , --- , --- 
 Not specified (individual) , Grant full approval to Pfizer and Moderna for their vaccines in children 6 months to 12 years , Regulatory Action 
 Not specified (individual) , Remove barriers to vaccine access for all indicated populations , Policy Change 
 Not specified (individual) , Leave vaccine recommendations to the CDC to avoid confusion , Agency Protocol 
 Not specified (individual) ," Avoid imposing limitations on vaccine use, such as those proposed in the NEJM article ", Regulatory Guidance 
 Not specified (individual) , Publish observed outcome data on vaccine effectiveness and safety , Data Transparency 
 Not specified (individual) , Reconsider the requirement for Novavax to provide additional trial data as a condition of approval , Regulatory Requirement 
 Not specified (individual) , Justify any limitations on vaccine use with strong evidence of changing risk-benefit profiles , Scientific Rationale 
 --- , --- , --- 
 National Dental Association , Scientific evidence supporting the safety and effectiveness of community water fluoridation ," Expert opinion, scientific data "
 National Dental Association , Recognition of the importance of community water fluoridation in preventing tooth decay and promoting oral health equity ," Policy consideration, public health data "
 National Dental Association , Acknowledgement of the lack of evidence linking fluoride to autism or other health risks ," Scientific research, risk assessment "
 National Dental Association , Support for the current recommended level of fluoride in community water supplies (0.7mg/L) ," Policy endorsement, public health guidance "
 National Dental Association ," Consideration of the potential consequences of eliminating community water fluoridation, including increased tooth decay and dental health disparities "," Policy analysis, public health impact assessment "
 --- , --- , --- 
" Jolie Ritzo, CEO, Civitas Networks for Health ", Establishment of FHIR as the FDA's foundational exchange standard , Technical/Regulatory 
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified , A four-week public comment period before the committee meeting , Timeframe for public comment 
 Not specified , Scientific evidence supporting the importance of vaccines in addressing SARS-CoV-2 , Scientific research/data 
 Not specified , Universal access to updated COVID vaccines for all ages , Vaccination strategy 
 Not specified , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Vaccination funding/coverage 
